rank,tier,priority_score,formula_tier,formula_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,pnl_fresh,pnl_age_days,pnl_snapshot_at_iso,avg_buy_usd,gmgn_realized_profit_usd,gmgn_pnl_ratio,gmgn_winrate,gmgn_buy_count,gmgn_sell_count,gmgn_period,gmgn_snapshot_at_iso,gmgn_snapshot_age_days,gmgn_profile_fresh,gmgn_tags,okx_win_rate,okx_avg_buy_value_usd,okx_preferred_mcap,okx_buy_tx_count,okx_snapshot_at_iso,kol_like,owner_manual_label,owner_manual_notes,sources,tags,provider_tags,token_tags,llm_verdict,llm_confidence,llm_recommended_action,llm_reasoning,llm_reviewed_at_iso,llm_review_fresh,llm_score_adjustment,llm_formula_disagreement,stale_review_count,stale_candidate,stale_reason,import_candidate,import_blocked,import_block_reason,review_lane,saved_but_now_blocked,manual_rating,manual_notes
32,B,128.3,B,128.3,1TXsKzewQzFb8MYidNCmvmPWTma1DWyC6fpvd5gQa7W,https://gmgn.ai/sol/address/1TXsKzewQzFb8MYidNCmvmPWTma1DWyC6fpvd5gQa7W,,,,2,2,1.000,2,2,2,1.7,2026-05-10T20:44:24.000Z,2026-05-11T05:34:06.309Z,74240,,19.65955688759,0,yes,1.7,2026-05-11T05:34:06.309Z,0.00020277775889685726,,,,,,,,,no,,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,insufficient_data,30,watch,"The wallet has only two sparse sightings from holder endpoints with unavailable trade amounts, making it impossible to confirm trading activity or strategy.",2026-05-12T11:17:31.341Z,yes,0,no,0,no,,no,no,,watch,no,,
33,A,127.6,A,148.8,H2KAvWycyqeHhqkMC1f83Pwju3B2MztLYdXVpNMcDs2V,https://gmgn.ai/sol/address/H2KAvWycyqeHhqkMC1f83Pwju3B2MztLYdXVpNMcDs2V,,,,4,4,0.400,10,9,3.42,1.7,2026-05-10T22:35:07.000Z,2026-05-11T05:34:06.309Z,92925,,369.93783905186,0,yes,1.7,2026-05-11T05:34:06.309Z,0.00010586550328169261,,,0.40484429065743943,,,7d,2026-05-12T16:36:16.917Z,0.3,yes,axiom,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,inflated_or_wash,85,remove,"All 10 sightings are holds with unavailable amounts, created 118 tokens, and token tags include bundler/paper_hands, suggesting wash trading activity.",2026-05-12T16:38:13.205Z,yes,-21.2,yes,1,no,,yes,no,,ready,no,,
34,A,126.7,A,149.2,5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG,https://gmgn.ai/sol/address/5B52w1ZW9tuwUduueP5J7HXz5AcGfruGoX6YoAudvyxG,Yenni,Yennii56,Yenni,5,4,0.625,8,5,8,4.6,2026-05-08T07:46:37.000Z,2026-05-08T08:08:34.966Z,142556,0,4194.431896575176,0.444444,no,4.6,2026-05-08T08:08:34.966Z,79.2661683420818,,,0.38857142857142857,,,7d,2026-05-12T16:35:58.381Z,0.3,yes,kol|app_smart_money|axiom|padre,,,,,,yes,,,okx|gmgn,smart_money|renowned|kol,kol|axiom|padre,bundler|transfer_in|paper_hands|diamond_hands,inflated_or_wash,90,remove,KOL-like wallet with a poor GMGN win rate (39%) and recent sell actions at $0 amount suggest inflated or noisy KOL flow.,2026-05-12T16:38:54.740Z,yes,-22.5,yes,1,no,,no,yes,kol_like,blocked,yes,,
35,C,126,C,126,F5jWYuiDLTiaLYa54D88YbpXgEsA6NKHzWy4SN4bMYjt,https://gmgn.ai/sol/address/F5jWYuiDLTiaLYa54D88YbpXgEsA6NKHzWy4SN4bMYjt,mercy,mercularx,mercy,1,1,0.333,3,3,0.75,0.7,2026-05-10T05:34:05.000Z,2026-05-12T06:42:34.190Z,119579,,40796.51145824081,0,yes,0.7,2026-05-12T06:42:34.190Z,0.0020854438962240912,,,,,,,,,no,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|axiom|photon|gmgn,bundler|paper_hands,,,,,,no,0,no,0,no,,no,no,,watch,no,,
36,C,125.4,C,125.4,AvzzD7SnRHb8Kv8dRk1JFYdWVcNtYhTybk2KbDWKB5ki,https://gmgn.ai/sol/address/AvzzD7SnRHb8Kv8dRk1JFYdWVcNtYhTybk2KbDWKB5ki,我是围棋高手（耐心）,0xweiqigaoshou,我是围棋高手（耐心）,1,1,0.333,3,3,0.76,0.7,2026-05-08T05:29:44.000Z,2026-05-12T06:42:34.189Z,91917,,7830.553570100639,0,yes,0.7,2026-05-12T06:42:34.189Z,0.0046898889119247065,,,,,,,,,no,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|gmgn,paper_hands|bundler,,,,,,no,0,no,0,no,,no,no,,watch,no,,
37,C,125.2,C,125.2,81CvxP9PiF53bQSeJFqMCseTMZ85UuU7chKDmtnZXhNy,https://gmgn.ai/sol/address/81CvxP9PiF53bQSeJFqMCseTMZ85UuU7chKDmtnZXhNy,,,,1,1,0.333,3,3,0.76,0.7,2026-05-08T05:24:04.000Z,2026-05-12T06:42:34.185Z,91917,,1080.46634348877,0,yes,0.7,2026-05-12T06:42:34.185Z,0.003357682384399083,,,,,,,,,no,,,,,,,no,,,gmgn|okx,smart_degen|smart_money,gmgn,bundler,,,,,,no,0,no,0,no,,no,no,,watch,no,,
38,B,125.2,B,123.2,FdwVhbBQhY9rwF5yaZwVH2SK6jhtxj67idgVrrGgAmKS,https://gmgn.ai/sol/address/FdwVhbBQhY9rwF5yaZwVH2SK6jhtxj67idgVrrGgAmKS,,,,2,2,0.400,5,5,1.26,0.7,2026-05-10T20:12:15.000Z,2026-05-12T06:42:34.187Z,74240,1126,104.06410365643,0,yes,0.7,2026-05-12T06:42:34.187Z,0.004849572738812946,,,0.45161290322580644,,,7d,2026-05-12T16:36:13.926Z,0.3,yes,axiom|smart_degen,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,genuine_smart_trader,65,keep,"Has both holder and trader sightings with positive PnL, indicating active trading in target micro-cap tokens.",2026-05-12T16:37:54.755Z,yes,2,no,0,no,,yes,no,,ready,no,,
39,B,124.1,B,115.1,HEq5VR1iu2cMC899q76BCQnFTTJrtay7NZPzmhCAWtrQ,https://gmgn.ai/sol/address/HEq5VR1iu2cMC899q76BCQnFTTJrtay7NZPzmhCAWtrQ,,,,2,2,0.400,5,5,5,4.6,2026-05-07T03:41:37.000Z,2026-05-08T08:08:34.976Z,135556,,7166.086751890524,0.66,no,4.6,2026-05-08T08:08:34.976Z,47.68287814045281,,,0.6190476190476191,,,7d,2026-05-12T16:36:17.413Z,0.3,yes,padre,,,,,,no,,,gmgn|okx,smart_degen|smart_money,,,genuine_smart_trader,90,promote,"Positive PnL ($7,166), 62% winrate, includes a profitable sell action, and target tokens match under 200K mcap strategy.",2026-05-12T16:38:13.205Z,yes,9,no,0,no,,yes,no,,ready,no,,
40,C,123.3,C,123.3,2W14ahXD3XBfWJchQ4K5NLXmguWWcTTUTuHDhEzeuvP3,https://gmgn.ai/sol/address/2W14ahXD3XBfWJchQ4K5NLXmguWWcTTUTuHDhEzeuvP3,Veloce,VeloceSVJ,Veloce,1,1,0.500,2,2,0.51,0.7,2026-05-10T05:32:34.000Z,2026-05-12T06:42:34.191Z,119579,,932.02458429214,0,yes,0.7,2026-05-12T06:42:34.191Z,0.0014044692420894435,,,,,,,,,no,,,,,,,yes,,,okx|gmgn,kol|renowned,kol|axiom|gmgn,bundler|paper_hands,,,,,,no,0,no,0,no,,no,no,,watch,no,,
41,C,122.2,C,122.2,99i9uVA7Q56bY22ajKKUfTZTgTeP5yCtVGsrG9J4pDYQ,https://gmgn.ai/sol/address/99i9uVA7Q56bY22ajKKUfTZTgTeP5yCtVGsrG9J4pDYQ,Zrool 尔,TheRealZrool,Zrool 尔,1,1,0.167,6,5,1.51,0.7,2026-05-10T20:11:43.000Z,2026-05-12T06:42:32.172Z,28902,,886.6118740381177,0,yes,0.7,2026-05-12T06:42:32.172Z,0.013012982583800233,,,,,,,,,no,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|axiom|bullx|wash_trader,bundler|transfer_in|paper_hands,,,,,,no,0,no,0,no,,no,no,,watch,no,,
42,A,121.8,A,121.8,2tMtxBCdF7NWZxVdmBU2DFYBapEAruJVR7KWmZYSkroi,https://gmgn.ai/sol/address/2tMtxBCdF7NWZxVdmBU2DFYBapEAruJVR7KWmZYSkroi,,,,3,3,0.750,4,4,4,4.6,2026-05-08T05:56:07.000Z,2026-05-08T08:07:33.543Z,126745,,3.71894461966,0,no,4.6,2026-05-08T08:07:33.543Z,0.00006162165951846984,,,0.5493827160493827,,,7d,2026-05-12T14:30:06.797Z,0.4,yes,gmgn,55.59,84.3951476441,<100K,1063,2026-05-12T14:30:12.120Z,no,data_sufficient,Owner: has GMGN data; do not treat as insufficient_data solely from sparse local sightings.,gmgn,smart_degen,,,genuine_smart_trader,70,watch,"High win rate and preferred mcap <100K with positive PnL, but local sightings are entirely holder signals so recent trading behavior is not captured.",2026-05-12T14:31:42.838Z,yes,0,no,0,no,,no,no,,watch,no,,
43,B,121.3,B,121.3,DPwH9aWrYGSBqMiPNLMW4Hti1k1xgq64t781eycfLCp5,https://gmgn.ai/sol/address/DPwH9aWrYGSBqMiPNLMW4Hti1k1xgq64t781eycfLCp5,,,,2,2,0.286,7,7,1.77,0.7,2026-05-08T05:25:01.000Z,2026-05-12T06:42:46.145Z,111610,,15.89521578915,0,yes,0.7,2026-05-12T06:42:46.145Z,0.0003741957505203047,,,0.5619047619047619,,,7d,2026-05-12T16:36:10.898Z,0.3,yes,axiom|padre|smart_degen,,,,,,no,,,gmgn,smart_degen,axiom|padre,bundler|paper_hands,insufficient_data,25,watch,Only holder sightings with no trade actions and unavailable amounts; cannot confirm trading activity or profitability.,2026-05-12T16:37:54.755Z,yes,0,no,0,no,,no,no,,watch,no,,
44,C,120,C,120,BQVz7fQ1WsQmSTMY3umdPEPPTm1sdcBcX9sP7o6kPRmB,https://gmgn.ai/sol/address/BQVz7fQ1WsQmSTMY3umdPEPPTm1sdcBcX9sP7o6kPRmB,Limfork.eth,Limfork,Limfork.eth,1,1,0.333,3,3,0.76,0.7,2026-05-07T12:35:57.000Z,2026-05-12T06:42:34.190Z,79098,,970.50099768175,0,yes,0.7,2026-05-12T06:42:34.190Z,0.0045862373019214114,,,,,,,,,no,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|axiom|bullx,bundler|paper_hands,,,,,,no,0,no,0,no,,no,no,,watch,no,,
45,B,118.9,B,117.1,G4dZH7s2KZz1DJk1eJcsAAmMqtPrmeT2dbgrz5UNMYxq,https://gmgn.ai/sol/address/G4dZH7s2KZz1DJk1eJcsAAmMqtPrmeT2dbgrz5UNMYxq,,,,2,2,0.222,9,8,2.26,0.7,2026-05-10T05:18:07.000Z,2026-05-12T06:42:16.139Z,125441,1131,-85.634479692,0,yes,0.7,2026-05-12T06:42:16.139Z,0.00041245922570116045,,,0.4485981308411215,,,7d,2026-05-12T16:36:15.424Z,0.3,yes,smart_degen|axiom,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,genuine_smart_trader,60,keep,Has both holder and trader sightings with negative PnL but active trading in target micro-cap tokens.,2026-05-12T16:37:54.755Z,yes,1.8,no,0,no,,yes,no,,ready,no,,
46,B,118.6,B,116.3,BVrGGCNcZxNSChWa7XEnGDPJZQTgCmfQYurzDMimnQVr,https://gmgn.ai/sol/address/BVrGGCNcZxNSChWa7XEnGDPJZQTgCmfQYurzDMimnQVr,,,,2,2,0.500,4,4,4,1.7,2026-05-10T22:05:06.000Z,2026-05-11T05:34:06.309Z,74240,,252.41814624724,0,yes,1.7,2026-05-11T05:34:06.309Z,0.00005474233274405902,,,0.5544554455445545,,,7d,2026-05-12T16:36:08.374Z,0.3,yes,axiom,,,,,,no,,,gmgn,smart_degen,axiom,paper_hands|bundler,genuine_smart_trader,75,keep,"Recorded sell trade with $2,767 profit and holder sightings in target mcap range, with GMGN axiom tag supporting smart degen classification.",2026-05-12T16:37:37.292Z,yes,2.3,no,0,no,,yes,no,,ready,no,,
47,B,118.4,B,116.3,6Dt9J7TXM3eqyQBAZMbGJCV6VsP13WVStwPJnLPFtw2Y,https://gmgn.ai/sol/address/6Dt9J7TXM3eqyQBAZMbGJCV6VsP13WVStwPJnLPFtw2Y,,,,2,2,0.667,3,3,1.03,1.7,2026-05-10T20:52:08.000Z,2026-05-11T05:33:34.162Z,15143,,28.97886213525,0,yes,1.7,2026-05-11T05:33:34.162Z,0.0002939344568655696,,,0.569620253164557,,,7d,2026-05-12T16:35:58.886Z,0.3,yes,trojan|gmgn,59.55,146.8248795865,100K-1M,385,2026-05-12T14:30:18.100Z,no,data_sufficient_mixed_profitability,"Owner: has data; not profitable in 7D, profitable in 30D, not the best.",gmgn,smart_degen,trojan|gmgn,bundler,genuine_smart_trader,70,keep,"Active trader with 1023 total txns, positive realized PnL (~509 USD), 59.55% win rate, and preferred mcap of 100K-1M which aligns with target strategy despite mixed profitability noted in manual label.",2026-05-12T16:39:02.110Z,yes,2.1,no,0,no,,yes,no,,ready,no,,
48,B,118.1,B,110.1,BL9mJiRQkfB9i9tMGZX2tSRFqbZVyXdPRKLyiYxkZbGM,https://gmgn.ai/sol/address/BL9mJiRQkfB9i9tMGZX2tSRFqbZVyXdPRKLyiYxkZbGM,,,,2,2,0.400,5,5,1.71,1.7,2026-05-10T12:52:08.000Z,2026-05-11T05:33:58.285Z,129695,435,60.78413420855,0,yes,1.7,2026-05-11T05:33:58.285Z,0.00024255136303292209,,,0.423963133640553,,,7d,2026-05-12T16:36:07.897Z,0.3,yes,padre|axiom,,,,,,no,,,gmgn,smart_degen,axiom|padre,bundler|paper_hands,genuine_smart_trader,80,promote,"Active buy/sell trades recorded with profit, targeting tokens under 200K mcap, and multiple provider tags (axiom, padre) confirm smart money activity.",2026-05-12T16:37:37.292Z,yes,8,no,0,no,,yes,no,,ready,no,,
49,B,116.3,B,124.7,DSUAixPqvUXFX46SvFm7LRYQkthpJom6XsjZn4vTkKaa,https://gmgn.ai/sol/address/DSUAixPqvUXFX46SvFm7LRYQkthpJom6XsjZn4vTkKaa,Wick李🔶 BNB,SuperL9,Wick李🔶 BNB,2,2,0.286,7,7,1.77,0.7,2026-05-10T06:18:13.000Z,2026-05-12T06:42:38.128Z,105748,,413.16137873998,0,yes,0.7,2026-05-12T06:42:38.128Z,0.00006542520180987682,,,0.25,,,7d,2026-05-12T16:36:11.377Z,0.3,yes,kol|app_smart_money|gmgn,,,,,,yes,,,gmgn,renowned,kol|gmgn,paper_hands|bundler,inflated_or_wash,70,demote,"KOL wallet with low win rate, negative PnL, and only holder sightings indicates noisy or unprofitable influence flow.",2026-05-12T16:37:54.755Z,yes,-8.4,yes,0,no,,no,no,,owner_review,no,,
50,B,116.1,B,116.1,GGjSUonDLxoVpDYgJa9ZuudyRvHsRbtHegezdgwsf7be,https://gmgn.ai/sol/address/GGjSUonDLxoVpDYgJa9ZuudyRvHsRbtHegezdgwsf7be,,,,2,2,1.000,2,2,2,4.6,2026-05-07T22:46:53.000Z,2026-05-08T08:07:27.489Z,144159,,149.83402784917,0,no,4.6,2026-05-08T08:07:27.489Z,0.00021368913314360953,,,0.4305555555555556,,,7d,2026-05-12T16:36:15.914Z,0.3,yes,,,,,,,no,,,gmgn,smart_degen,,,insufficient_data,25,watch,Only holder sightings with unavailable trade amounts and no trader actions; GMGN winrate of 43% but no PnL or cost data to assess profitability.,2026-05-12T16:38:13.205Z,yes,0,no,0,no,,no,no,,watch,no,,
51,B,115.9,B,113.6,2HpEemeT7HawRakzj3ckwfPxmgPnji6z7z9yox1sNR8D,https://gmgn.ai/sol/address/2HpEemeT7HawRakzj3ckwfPxmgPnji6z7z9yox1sNR8D,,,,2,2,0.500,4,4,4,1.7,2026-05-11T01:58:44.000Z,2026-05-11T05:34:06.310Z,74240,100,86.54094654082,0,yes,1.7,2026-05-11T05:34:06.310Z,0.000055797852185120825,,,0.5408163265306123,,,7d,2026-05-12T16:35:55.639Z,0.3,yes,,,,,,,no,,,gmgn,smart_degen,,bundler|paper_hands,genuine_smart_trader,75,keep,High GMGN win rate (54%) and positive PnL with target share of 50% on microcaps suggest a genuine trader aligned with the strategy.,2026-05-12T16:38:54.740Z,yes,2.3,no,0,no,,yes,no,,ready,no,,
52,B,114.6,B,114.6,RTYizu6bjvFTBfiS56cEoqkKRqk5xa5VBKsHQUeUNDs,https://gmgn.ai/sol/address/RTYizu6bjvFTBfiS56cEoqkKRqk5xa5VBKsHQUeUNDs,,,,3,3,0.500,6,6,6,4.6,2026-05-08T05:19:50.000Z,2026-05-08T08:07:33.542Z,100772,,36.86278831503,0,no,4.6,2026-05-08T08:07:33.542Z,0.00021639520754549815,,,0.7322834645669292,,,7d,2026-05-12T16:36:21.428Z,0.3,yes,,,,,,,no,,,gmgn,smart_degen,,,insufficient_data,40,watch,High GMGN winrate (73%) but only holder sightings with unavailable amounts; no trader actions to confirm actual trading activity.,2026-05-12T16:38:13.205Z,yes,0,no,0,no,,no,no,,watch,no,,
53,B,114.6,B,114.6,zzzCaz9jTFBka6vypB26BeyKK9BTqyFYyFzqZtM6sUa,https://gmgn.ai/sol/address/zzzCaz9jTFBka6vypB26BeyKK9BTqyFYyFzqZtM6sUa,,,,3,3,0.500,6,6,6,4.6,2026-05-08T05:55:19.000Z,2026-05-08T08:07:33.544Z,123909,,6.20527152799,0,no,4.6,2026-05-08T08:07:33.544Z,0.00009446710372547606,,,0.6929460580912863,,,7d,2026-05-12T16:36:25.470Z,0.3,yes,,,,,,,no,,,gmgn,smart_degen,,,insufficient_data,50,watch,"GMGN win rate is positive but all sightings are holder-only with no trade activity, and recent data is sparse, preventing confident classification.",2026-05-12T16:38:32.896Z,yes,0,no,0,no,,no,no,,watch,no,,
54,C,114.3,C,114.3,GxBBPPKgEjUEXJTcbnrouUCmHryExLhKFysb3oFQxvZ1,https://gmgn.ai/sol/address/GxBBPPKgEjUEXJTcbnrouUCmHryExLhKFysb3oFQxvZ1,,,,1,1,1.000,1,1,1,1.7,2026-05-10T06:20:33.000Z,2026-05-11T05:33:22.266Z,119579,3597,3018.10230995782,0,yes,1.7,2026-05-11T05:33:22.266Z,0.00014029833268541033,,,,,,,,,no,,,,,,,no,,,gmgn,smart_degen,axiom,bundler,,,,,,no,0,no,0,no,,no,no,,watch,no,,
55,C,114.2,C,114.2,Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt,https://gmgn.ai/sol/address/Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt,theo,theonomix,theo,1,1,0.250,4,4,1.01,0.7,2026-05-07T02:29:37.000Z,2026-05-12T06:42:46.148Z,131302,,94.33030828864,0,yes,0.7,2026-05-12T06:42:46.148Z,0.000005396851971359397,,,,,,,,,no,,,,,,,yes,,,gmgn|okx,renowned|kol,kol|axiom|photon|gmgn|padre,bundler|paper_hands|sniper,,,,,,no,0,no,0,no,,no,no,,watch,no,,
56,C,114.1,C,114.1,FdLwz7ckqRC3HvqBDREo68pkfK1ZWk3bxwL8VpEtRK5F,https://gmgn.ai/sol/address/FdLwz7ckqRC3HvqBDREo68pkfK1ZWk3bxwL8VpEtRK5F,,,,1,1,1.000,1,1,1,1.7,2026-05-10T06:20:33.000Z,2026-05-11T05:33:22.264Z,119579,,2841.956201143,0,yes,1.7,2026-05-11T05:33:22.264Z,0.00014970280469817556,,,,,,,,,no,,,,,,,no,,,gmgn,smart_degen,axiom,bundler,,,,,,no,0,no,0,no,,no,no,,watch,no,,
57,C,114,C,114,Az7xgPfitG2FyPrfHKW6FWp9H3QH8MuSo8GgD6beWTj2,https://gmgn.ai/sol/address/Az7xgPfitG2FyPrfHKW6FWp9H3QH8MuSo8GgD6beWTj2,,,,1,1,1.000,1,1,1,1.7,2026-05-10T06:20:33.000Z,2026-05-11T05:33:22.265Z,119579,,2718.26840896776,0,yes,1.7,2026-05-11T05:33:22.265Z,0.00016482412173189357,,,,,,,,,no,,,,,,,no,,,gmgn,smart_degen,axiom,bundler,,,,,,no,0,no,0,no,,no,no,,watch,no,,
58,C,113.9,C,113.9,5qWge4zUyQenk53EhAAQ5yP4LWxuvdqJpRBZZbGd4tv9,https://gmgn.ai/sol/address/5qWge4zUyQenk53EhAAQ5yP4LWxuvdqJpRBZZbGd4tv9,Mystayor 兽 💹🧲,Mystayor,Mystayor 兽 💹🧲,1,1,1.000,1,1,0.34,1.7,2026-05-10T22:21:08.000Z,2026-05-11T05:33:22.266Z,119579,,7.223041785659849,0,yes,1.7,2026-05-11T05:33:22.266Z,0.000158076853986494,,,,,,,,,no,,,,,,,yes,,,okx|gmgn,kol|renowned,kol|fomo,paper_hands,,,,,,no,0,no,0,no,,no,no,,watch,no,,
59,B,113.5,B,113.5,Bapcdwy318WjUcQhUiZWgUksdZpRSWWWsXfvWKf31nH9,https://gmgn.ai/sol/address/Bapcdwy318WjUcQhUiZWgUksdZpRSWWWsXfvWKf31nH9,,,,2,2,0.500,4,4,1.37,1.7,2026-05-07T19:42:37.000Z,2026-05-11T05:33:58.284Z,139905,,85.57501444092,0,yes,1.7,2026-05-11T05:33:58.284Z,0.0005767644327149075,,,0.5689655172413793,,,7d,2026-05-12T16:36:08.901Z,0.3,yes,smart_degen|axiom,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,insufficient_data,35,watch,All sightings are holder-only with no trades recorded; cannot assess trading strategy despite GMGN smart_degen tags.,2026-05-12T16:37:37.292Z,yes,0,no,0,no,,no,no,,watch,no,,
60,B,113.4,B,111.1,55ZQuSoWHxHkCxzZvU4QP6FyNAcc6y62d3FKiEghPzAH,https://gmgn.ai/sol/address/55ZQuSoWHxHkCxzZvU4QP6FyNAcc6y62d3FKiEghPzAH,,,,2,2,0.400,5,5,1.26,0.7,2026-05-10T20:19:14.000Z,2026-05-12T06:42:46.145Z,54000,,-10.92382844212,0,yes,0.7,2026-05-12T06:42:46.145Z,0.00019705581298941284,,,0.5970149253731343,,,7d,2026-05-12T16:35:57.855Z,0.3,yes,smart_degen|axiom,68.66,216.9036142353,<100K,208,2026-05-12T14:30:15.690Z,no,good_profitable_smart_wallet,Owner: good profitable smart wallet.,gmgn,smart_degen,axiom,bundler|paper_hands,genuine_smart_trader,75,keep,"Wallet shows strong win rate (68.66% OKX, 59.7% GMGN) with realized profit of ~4.8K USD, trades primarily in <100K mcap tokens matching target strategy, and has manual label as profitable despite recent negative PnL from holder sightings.",2026-05-12T16:39:02.110Z,yes,2.3,no,0,no,,yes,no,,ready,no,,
61,B,113.4,A,133.4,GoonY5hPo63xAPCwkyWuFmQ57HWq8wj5Bevj2D222U4u,https://gmgn.ai/sol/address/GoonY5hPo63xAPCwkyWuFmQ57HWq8wj5Bevj2D222U4u,,,,3,3,0.429,7,7,1.77,0.7,2026-05-10T20:50:26.000Z,2026-05-12T06:42:34.185Z,84040,,-296.89545953488226,0,yes,0.7,2026-05-12T06:42:34.185Z,0.002880903759172325,,,0.4421768707482993,,,7d,2026-05-12T16:36:16.585Z,0.3,yes,smart_degen|axiom,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands|transfer_in,inflated_or_wash,80,remove,"Negative PnL (-$297), all sightings are holds with unavailable amounts, and token tags include bundler/paper_hands, indicating likely wash trading.",2026-05-12T16:38:13.205Z,yes,-20,yes,1,no,,yes,no,,ready,no,,
62,C,113.4,C,113.4,HArDKfcLELHAGj37UqBstSe5DzdSZKmFCTxgMbZ4a5Na,https://gmgn.ai/sol/address/HArDKfcLELHAGj37UqBstSe5DzdSZKmFCTxgMbZ4a5Na,,,,1,1,1.000,1,1,0.34,1.7,2026-05-10T05:11:50.000Z,2026-05-11T05:33:22.261Z,119579,8,0,0,yes,1.7,2026-05-11T05:33:22.261Z,0.0005327985573078071,,,,,,,,,no,,,,,,,no,,,okx|gmgn,smart_money|smart_degen,axiom,bundler,,,,,,no,0,no,0,no,,no,no,,watch,no,,
63,C,112.2,C,112.2,7gZ3LHoFfxagH81pkn77NpVDVtkgvEEKBhsXFpuXkw9j,https://gmgn.ai/sol/address/7gZ3LHoFfxagH81pkn77NpVDVtkgvEEKBhsXFpuXkw9j,,,,1,1,0.250,4,4,1.37,1.7,2026-05-11T00:44:04.000Z,2026-05-11T05:33:58.285Z,119579,1619,265.49443701066,0,yes,1.7,2026-05-11T05:33:58.285Z,0.0006180774249489294,,,,,,,,,no,,,,,,,no,,,gmgn|okx,smart_degen|smart_money,axiom,paper_hands,,,,,,no,0,no,0,no,,no,no,,watch,no,,
64,C,112,C,112,7fnSsVNgKwnyPayW4oBP9MNFc5YeTtqEyEhT1Psjqakw,https://gmgn.ai/sol/address/7fnSsVNgKwnyPayW4oBP9MNFc5YeTtqEyEhT1Psjqakw,,,,1,1,0.167,6,6,1.51,0.7,2026-05-10T20:13:15.000Z,2026-05-12T06:42:34.187Z,28902,,2547.24872316785,0,yes,0.7,2026-05-12T06:42:34.187Z,0.002866917108321926,,,,,,,,,no,,,,,,,no,,,gmgn,smart_degen,axiom,bundler|paper_hands,,,,,,no,0,no,0,no,,no,no,,watch,no,,
65,B,111.6,B,120.6,HW1wbyPSa7QTqjRzD4kCKZyBbXFzR8cA7sJqBrzrJ6o4,https://gmgn.ai/sol/address/HW1wbyPSa7QTqjRzD4kCKZyBbXFzR8cA7sJqBrzrJ6o4,,,,2,2,0.667,3,3,3,1.7,2026-05-10T20:16:05.000Z,2026-05-11T05:34:06.309Z,74240,,154.59280551155,0,yes,1.7,2026-05-11T05:34:06.309Z,0.0001802589770068261,,,0.5919540229885057,,,7d,2026-05-12T16:36:17.936Z,0.3,yes,fresh_wallet|axiom,,,,,,no,,,gmgn,smart_degen,fresh_wallet|axiom,bundler|paper_hands,inflated_or_wash,75,demote,"Fresh wallet with all holds, unavailable amounts, and token tags bundler/paper_hands, indicating likely wash trading or bot activity.",2026-05-12T16:38:13.205Z,yes,-9,yes,0,no,,no,no,,owner_review,no,,
66,C,111.2,C,111.2,2UpG5uM1MXGbQG6d57ofaRCG3r9KQYxKtqqWCNJuKifb,https://gmgn.ai/sol/address/2UpG5uM1MXGbQG6d57ofaRCG3r9KQYxKtqqWCNJuKifb,,,,1,1,1.000,1,1,1,1.7,2026-05-10T20:09:28.000Z,2026-05-11T05:34:06.307Z,28902,,941.80817914258,0,yes,1.7,2026-05-11T05:34:06.307Z,0.00002161892071212208,,,,,,,,,no,,,,,,,no,,,gmgn,smart_degen,axiom|padre,bundler|paper_hands,,,,,,no,0,no,0,no,,no,no,,watch,no,,
67,B,111.1,B,111.1,4YzpSZpxDdjNf3unjkCtdWEsz2FL5mok7e5XQaDNqry8,https://gmgn.ai/sol/address/4YzpSZpxDdjNf3unjkCtdWEsz2FL5mok7e5XQaDNqry8,xunle,xunle111,xunle,2,2,1.000,2,2,2,4.6,2026-05-07T19:51:23.000Z,2026-05-08T08:07:21.504Z,105200,,130.2549303903,0,no,4.6,2026-05-08T08:07:21.504Z,0.00021964788583297577,,,,,,,,,no,,,,,,,yes,,,gmgn,renowned,kol|gmgn,bundler|paper_hands,insufficient_data,25,watch,"Only two sightings from holder endpoints with no trade data, despite provider tags suggesting KOL status, so context is too limited for confident assessment.",2026-05-12T11:36:30.870Z,yes,0,no,0,no,,no,no,,watch,no,,
